Date,Price,,,,
"Nov 17, 2000",46.815,,,,
"Nov 20, 2000",46.765,,,,
"Nov 21, 2000",46.79,,,,
"Nov 22, 2000",46.81,,,,
"Nov 23, 2000",46.82,,,,
"Nov 24, 2000",46.8,,,,
"Nov 27, 2000",46.855,,,,
"Nov 28, 2000",46.89,,,,
"Nov 29, 2000",46.875,,,,
"Nov 30, 2000",46.87,,,,
"Oct 02, 2000",46.06,,,,
"Oct 03, 2000",46.08,,,,
"Oct 04, 2000",46.07,,,,
"Oct 05, 2000",46.1,,,,
"Oct 06, 2000",46.15,,,,
"Oct 09, 2000",46.09,,,,
"Oct 10, 2000",46.215,,,,
"Oct 11, 2000",46.365,,,,
"Oct 12, 2000",46.295,,,,
"Oct 13, 2000",46.38,,,,
"Oct 16, 2000",46.315,,,,
"Oct 17, 2000",46.305,,,,
"Oct 18, 2000",46.345,,,,
"Oct 19, 2000",46.31,,,,
"Oct 20, 2000",46.35,,,,
"Oct 23, 2000",46.39,,,,
"Oct 24, 2000",46.395,,,,
"Oct 25, 2000",46.63,,,,
"Oct 26, 2000",46.63,,,,
"Oct 27, 2000",46.77,,,,
"Oct 30, 2000",46.675,,,,
"Oct 31, 2000",46.845,,,,
"Sep 01, 2000",45.8,,,,
"Sep 04, 2000",45.725,,,,
"Sep 05, 2000",45.715,,,,
"Sep 06, 2000",45.65,,,,
"Sep 07, 2000",45.63,,,,
"Sep 08, 2000",45.64,,,,
"Sep 11, 2000",45.625,,,,
"Sep 12, 2000",45.6,,,,
"Sep 13, 2000",45.6,,,,
"Sep 14, 2000",45.66,,,,
"Sep 15, 2000",45.775,,,,
"Sep 18, 2000",46.05,,,,
"Sep 19, 2000",46.38,,,,
"Sep 20, 2000",46.3,,,,
"Sep 21, 2000",45.93,,,,
"Sep 22, 2000",46.08,,,,
"Sep 25, 2000",46.05,,,,
"Sep 26, 2000",46.05,,,,
"Sep 27, 2000",46.05,,,,
"Sep 28, 2000",45.975,,,,
"Sep 29, 2000",45.98,,,,
"Apr 02, 2001",46.61,,,,
"Apr 03, 2001",46.625,,,,
"Apr 04, 2001",46.595,,,,
"Apr 05, 2001",46.595,,,,
"Apr 06, 2001",46.565,,,,
"Apr 09, 2001",46.54,,,,
"Apr 10, 2001",46.555,,,,
"Apr 11, 2001",46.685,,,,
"Apr 12, 2001",46.845,,,,
"Apr 13, 2001",46.84,,,,
"Apr 16, 2001",47.025,,,,
"Apr 17, 2001",46.85,,,,
"Apr 18, 2001",46.845,,,,
"Apr 19, 2001",46.84,,,,
"Apr 20, 2001",46.82,,,,
"Apr 23, 2001",46.82,,,,
"Apr 24, 2001",46.81,,,,
"Apr 25, 2001",46.825,,,,
"Apr 26, 2001",46.84,,,,
"Apr 27, 2001",46.835,,,,
"Apr 30, 2001",46.84,,,,
"Aug 01, 2001",47.11,,,,
"Aug 02, 2001",47.1,,,,
"Aug 03, 2001",47.12,,,,
"Aug 06, 2001",47.11,,,,
"Aug 07, 2001",47.12,,,,
"Aug 08, 2001",47.14,,,,
"Aug 09, 2001",47.13,,,,
"Aug 10, 2001",47.12,,,,
"Aug 13, 2001",47.12,,,,
"Aug 14, 2001",47.11,,,,
